C:\Users\stick\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 28.24GB > 4.49GB
  warnings.warn(
SPS: 137
global_step=91499, episodic_return=-14500.0
SPS: 137
SPS: 137
global_step=91677, episodic_return=-2700.0
SPS: 137
SPS: 137
global_step=91859, episodic_return=-11700.0
SPS: 136
SPS: 136
global_step=92040, episodic_return=-12500.0
SPS: 136
SPS: 136
global_step=92222, episodic_return=-28700.0
SPS: 136
SPS: 135
global_step=92401, episodic_return=-25000.0
SPS: 135
global_step=92581, episodic_return=-1800.0
SPS: 135
SPS: 134
global_step=92766, episodic_return=-8500.0
SPS: 134
SPS: 134
global_step=92949, episodic_return=-6100.0
SPS: 134
SPS: 134
global_step=93131, episodic_return=-6900.0
SPS: 133
SPS: 133
global_step=93315, episodic_return=-2100.0
SPS: 133
global_step=93493, episodic_return=-15300.0
SPS: 133
SPS: 133
global_step=93677, episodic_return=-5300.0
SPS: 133
SPS: 132
global_step=93857, episodic_return=-17800.0
SPS: 132
SPS: 132
global_step=94037, episodic_return=1400.0
SPS: 132
SPS: 131
global_step=94218, episodic_return=-2600.0
SPS: 131
SPS: 131
global_step=94402, episodic_return=-14100.0
SPS: 131
global_step=94585, episodic_return=-16400.0
SPS: 131
SPS: 131
global_step=94770, episodic_return=-6400.0
SPS: 130
SPS: 130
global_step=94952, episodic_return=-13900.0
SPS: 130
SPS: 130
global_step=95136, episodic_return=-5300.0
SPS: 130
SPS: 130
global_step=95319, episodic_return=-9300.0
SPS: 130
SPS: 129
global_step=95504, episodic_return=-20700.0
SPS: 129
global_step=95684, episodic_return=-7500.0
SPS: 129
SPS: 129
global_step=95862, episodic_return=-7600.0
SPS: 128
SPS: 128
global_step=96043, episodic_return=-12500.0
SPS: 128
SPS: 128
global_step=96221, episodic_return=-1200.0
SPS: 128
SPS: 128
global_step=96406, episodic_return=-5000.0
SPS: 127
global_step=96588, episodic_return=-5600.0
SPS: 127
SPS: 127
global_step=96773, episodic_return=-3300.0
SPS: 127
SPS: 127
global_step=96956, episodic_return=-9300.0
SPS: 127
SPS: 127
global_step=97140, episodic_return=-2400.0
SPS: 126
SPS: 126
global_step=97322, episodic_return=-17600.0
SPS: 126
SPS: 126
global_step=97506, episodic_return=-9900.0
SPS: 126
global_step=97689, episodic_return=-7000.0
SPS: 126
SPS: 126
global_step=97868, episodic_return=-7000.0
SPS: 125
SPS: 125
global_step=98048, episodic_return=-9800.0
SPS: 125
SPS: 125
global_step=98233, episodic_return=-14500.0
SPS: 125
SPS: 125
global_step=98411, episodic_return=-7200.0
